tweetid,screen_name,date,lang,text,friends_count,followers_count
1301328948186415104,rwang0,Thu Sep 03 01:19:33 +0000 2020,en,MyPOV: how to reduce eye strain. #wfh #futureofwork   Since lockdown started; people are spending an average of 9.5 hours a day staring at screens. Here; a few fixes for keeping eye strain at bay. https://t.co/SX7DlRId1e,Silicon Valley | SF | FL 410+,103619,141982
1303462200346988544,EricTopol,Tue Sep 08 22:36:20 +0000 2020,en,The association of #obesity and #COVID19 outcomes is far ranging: need for hospitalization; ICU; mortality; in all ages https://t.co/pCrOREGssT reviewed @ScienceMagazine by @meredithwadman  meta-analysis of 75 studies  https://t.co/CTWsO24Kfr https://t.co/kpjsSoZ1br,CA,556,686676
1379632062555111424,jeremyfaust,Wed Apr 07 03:08:10 +0000 2021,en,The vaccines are turning the tide of this pandemic.   Don’t swim upstream.,MA,2894,102053
1274977021530116096,devisridhar,Mon Jun 22 08:06:24 +0000 2020,en,Reality check: Germany (pop 83million) running 200-300 cases per day and sudden outbreak is 1000 cases from a factory. UK (pop 66million) running 1200-1500 cases per day. Like an equivalent big outbreak everyday in the UK.,Miami,519,318816
1276421721894129664,michaelmina_lab,Fri Jun 26 07:47:07 +0000 2020,en,When discussing sensitivity of #COVID19 assays; we must have more nuance.   A negative result in a patient with no active viral infection but still + with virus RNA near the limit of detection should not be considered equal to missing a currently transmitting infection.... 1/,MA,998,226424
1310288762878881792,michaelmina_lab,Sun Sep 27 18:42:39 +0000 2020,en,Immune system responses in children and adults during more severe #COVID19   Eventually children will age out of this virus (become adults) and it will be another seasonal coronavirus. Until then; we have work to do  @apoorva_nyc @VirusesImmunity  https://t.co/SReMYCHBh9,MA,998,226424
1317134772846604288,ScottGottliebMD,Fri Oct 16 16:06:15 +0000 2020,en,Look forward to reading this new book on the Covid pandemic and it’s broader impacts from the always provocative and thoughtful @NAChristakis https://t.co/yPZnHW7EBx https://t.co/7DJCsICILw,DC,1457,588551
1357741131312824320,DrLeanaWen,Fri Feb 05 17:21:25 +0000 2021,en,My 3 takeaways from today’s @WhiteHouse @aslavitt66 #covid19 briefing: Activating DPA to scale up vaccines (great!). Increasing rapid home testing (fantastic—though we need a lot more than 60m more). Continuing lack of clarity on teachers &amp; vaccinations (not so good). https://t.co/OATlZYEzuU,MD,5001,177488
1391387742311944192,PeterHotez,Sun May 09 13:41:03 +0000 2021,en,Tomorrow; Monday; May 10; I look forward to speaking and answering questions (virtually) in the #Canada House of Commons @OurCommons #HESA Committee; Session on the "Emergency Situation Facing Canadians in Light of the COVID-19 Pandemic" https://t.co/cldDa6RgHv https://t.co/AEOMLZCLnN,Houston TX,7215,334762
1270766122447536128,CarlosdelRio7,Wed Jun 10 17:13:47 +0000 2020,en,This is an excellent summary of where we are in #Coronavirus Vaccine development. ⁦@nytimes⁩ ⁦@moderna_tx⁩ ⁦@AstraZeneca⁩ ⁦@JNJNews⁩  https://t.co/NSH9SQHWDG,GA,1569,56698
1283972592915951616,Craig_A_Spencer,Fri Jul 17 03:51:35 +0000 2020,en,Excellent piece by @SaskiaPopescu.  “...the front lines of Arizona have been my home during the pandemic; but I hope that the rest of the nation sees us a cautionary example.“  As someone who witnessed all this on the frontline in NYC; I hope for the same. https://t.co/67GNZ09lFk,🗽 New York City 🔜 PVD,730,253343
1284303754028888064,tmprowell,Sat Jul 18 01:47:30 +0000 2020,en,@TXGovAbbott says there are no plans for another statewide shutdown of Texas.   Yup; we believe it. There appear to be no plans whatsoever. #COVID19  https://t.co/h84yJp6X56,USA,7589,60699
1352368475352793088,KrutikaKuppalli,Thu Jan 21 21:32:24 +0000 2021,en,#Fauci discusses his concern about #CovidVaccine  hesitancy during his #coronavirus briefing.   This is something @aetiology @navighealthrisk and myself write about and the importance of messaging in this perspective https://t.co/SIBYxIN5bu,Global Citizen ,745,33492
1354196674651037696,CDCDirector,Tue Jan 26 22:37:01 +0000 2021,en,I am crushed by the toll that #COVID19 has taken on America - uncertainty it has caused; lives lost; and upheaval to everyday life. Thank you for helping #slowthespread; but we are still in the midst of a challenging time &amp; must remain persistent. https://t.co/KDrqAWIgES,GA,487,373674
1234178632903467008,CarlosdelRio7,Sun Mar 01 18:08:10 +0000 2020,en,Paris' Louvre Museum closed as staff walk out over coronavirus | Article [AMP] | Reuters https://t.co/YXSJbrCNky,GA,1569,56698
1295345431774294016,EricTopol,Mon Aug 17 13:03:11 +0000 2020,en,Potential pockets of #SARSCoV2 herd immunity at &lt;70% expected threshold; and the miscue that this has anything to do with pre-existing T cell response to common cold coronaviruses https://t.co/AL3H5bnQRM by @apoorva_nyc  https://t.co/MzsIrNenaq by @stephaniemlee https://t.co/j3xoXzRMAk,CA,556,686676
1312939190607380480,CarlosdelRio7,Mon Oct 05 02:14:30 +0000 2020,en,The President likely had severe #COVID19 which explains why he received Ramdesivir and Dexamethasone via @NYTimes ⁦@choo_ek⁩ ⁦@RWalensky⁩ ⁦@RMKGandhi⁩  https://t.co/yrUDMk9TI9,GA,1569,56698
1353531526525292544,HelenBranswell,Mon Jan 25 02:33:57 +0000 2021,en,"I never caved." - Former CDC director Robert Redfield tells @BySheilaKaplan he stood up for the agency.  And yet; CDC was silence &amp; sidelined when the country needed it most. On his watch. Unlike Tony Fauci; Redfield didn't publicly challenge Trump. https://t.co/NVOaVTykzF,MA,2079,225280
1391943532382932992,CarlosdelRio7,Tue May 11 02:29:33 +0000 2021,en,Important study from @EmoryVaccineCtr B.1.617.1 variant is 6.8-fold more resistant to neutralization  by  sera  from  COVID-19  convalescent  and  Moderna &amp; Pfizer vaccinated individuals. https://t.co/Q7S8DT5vf2,GA,1569,56698
1392426050160898048,drlucymcbride,Wed May 12 10:26:55 +0000 2021,en,For most young ppl; the social/emotional advantages of taking masks off outside &gt;&gt;&gt; personal/public health benefits of masking. Risk of outdoor transmission is tiny. Let's allow #FactsNotFear to drive our behaviors &amp; policy.  My latest in @TheAtlantic:  https://t.co/mEYeJz9GEz,Substack newsletter 👉,3590,28245
1221121180725383168,k_stephensonMD,Sat Jan 25 17:22:31 +0000 2020,en,Looking for a reliable and updated source of info on #coronavirus outbreak? Go to this @CDCgov page for situational summary; especially for US response. See FAQ link at bottom of page for layperson info. https://t.co/KwnMaVqlmh,MA,1052,3442
1249394695911833600,rwang0,Sun Apr 12 17:51:22 +0000 2020,en,MyPOV: now the #hiddencosts that impact #healthcare $450M loss per hospital in NYC.  Dramatic losses in revenue from elective procedures that have been postponed https://t.co/VQEhgNh0Qq  #covid19 #coronavirus,Silicon Valley | SF | FL 410+,103619,141982
1285551368397369344,ghn_news,Tue Jul 21 12:25:05 +0000 2020,en,Facing “twin pandemics” of the #coronavirus and systemic racism; Black people in Maine make up 2% of the state’s population but 23% of its #COVID cases.  https://t.co/0FF9OH5m2z,MD USA,2268,16655
1294444960956071936,Bob_Wachter,Sat Aug 15 01:25:02 +0000 2020,en,1/ Covid (@UCSF) Chronicles; Day 150  Today; 150 days since I began my Covid tweets; I’m going to do something odd: write the speech that Trump should give. I have no faith he’ll do so; but it’s worth recognizing how little it would take to change course &amp; save lives. Here goes:,San Francisco,305,274323
1312392685441953792,CarlosdelRio7,Sat Oct 03 14:02:53 +0000 2020,en,The Daily Digest; 02Oct2020 by @AmberSchmidtke https://t.co/lmZwQKiZ6X. Listen to @AmberSchmidtke #WearAMask avoid crowds and indoor gatherings; maintain a safe distance; #WashYourHands &amp; stay home when sick!,GA,1569,56698
1319651512507899904,tmprowell,Fri Oct 23 14:46:53 +0000 2020,en,Of 1;744 #COVID19-related retaliation complaints filed w/ @OSHA_DOL btwn April &amp; mid-Aug; 2% were resolved &amp; more than half were dismissed or closed without investigation. Federal worker protection for reporting unsafe practices &amp; retaliation is needed.    https://t.co/hBYRmZh99a,USA,7589,60699
1325100179402477568,CarlosdelRio7,Sat Nov 07 15:37:56 +0000 2020,en,Herd Immunity as a Coronavirus Pandemic Strategy https://t.co/Kp3nwox7Ia via @YouTube Worth listening to @mlipsitch debating Jay Bhattacharya about the #GreatBarringtonDeclaration,GA,1569,56698
1221978642848202752,KrutikaKuppalli,Tue Jan 28 02:09:46 +0000 2020,en,I find it interesting that all of a sudden there are so many “experts” out there about #infectiousdiseases #outbreaks;  #coronavirus and are all over the media giving interviews. #ncoV2019,Global Citizen ,745,33492
1225578737946841088,nicholas_bagley,Fri Feb 07 00:35:15 +0000 2020,en,this is gut-wrenching  his wife was pregnant with their second child  https://t.co/hK1SZATszt,MI,609,30773
1296234773657071616,Surgeon_General,Wed Aug 19 23:57:07 +0000 2020,en,Need a mental break? Finding time for activities you enjoy; like reading; exercising; or watching TV; can be great ways to cope with stress during #COVID19. Find more tips at https://t.co/xaQM2h8NKT https://t.co/7Ot5tqfYLV,DC,187,1127181
1316005741887721472,ScottGottliebMD,Tue Oct 13 13:19:53 +0000 2020,en,The scope of clinical trials underway for a Covid vaccine is unprecedented. Never before have so many massive trials been undertaken simultaneously in pursuit of a single goal. The oversight of safety boards is evidence of the integrity; rigor; and careful nature of this process.,DC,1457,588751
1325072698486091776,MoNscience,Sat Nov 07 13:48:44 +0000 2020,en,“On Tuesday night; Mr. Meadows was at Mr. Trump’s election party at the White House; which featured several hundred people gathered in the East Room for several hours; many of them not wearing masks as they mingled while watching the election returns.”   https://t.co/m1S2qH6zAo,,4467,13549
1349381862788128768,JoeBrunoWSOC9,Wed Jan 13 15:44:41 +0000 2021,en,The Mint Museum is closing for three weeks in response to the directive https://t.co/YVQ2jUas1Y,NC,4017,48909
1361723631051497472,EricTopol,Tue Feb 16 17:06:27 +0000 2021,en,A report of abnormal eye findings by magnetic resonance imaging in 9 patients with severe covid-19; all with nodules in the macular region; representing 7% of a retrospective consecutive series https://t.co/S7fCoepokg @radiology_rsna https://t.co/b6dAOTHpht,CA,556,686676
1222239647398580224,MoNscience,Tue Jan 28 19:26:54 +0000 2020,en,While there is much to learn about the #nCoV2019/#2019nCoV outbreak; scientists do know a bit about similar coronaviruses and respiratory illnesses like the flu.  Let’s look at how those viruses spread—specifically on airplanes. https://t.co/Fi0fg73uyi by Amy McKeever for @NatGeo,,4467,13549
1273713053549428736,HelenBranswell,Thu Jun 18 20:23:51 +0000 2020,en,The way forward? Beijing's renewed restrictions in the face of a cluster of #Covid19 cases may be showing us what the near future may look like. https://t.co/QGJvgMvcKt,MA,2079,225280
1276243924646940672,rwang0,Thu Jun 25 20:00:37 +0000 2020,en,MyPOV: bottom line; the Dow should be at 30k with all the money printed. #markets #economy #covid19   Dow rise 250 points in Thursday’s final turbulent hour amid angst over rising coronavirus cases https://t.co/3OIt3VLVF4,Silicon Valley | SF | FL 410+,103619,141982
1297214420578217984,DrJaimeFriedman,Sat Aug 22 16:49:53 +0000 2020,en,Love this message from @AmerAcadPeds on their IG page. Don’t let COVID keep you from getting your teens up to date on their vaccines. #CallYourPediatrician  Also love this young girl’s mask 😂 #WeAreEverywhere #PhishMedTwitter https://t.co/rkAkp5GOMA,Land of the Kumeyaay ,5261,15988
1315280894358421504,DrLeanaWen,Sun Oct 11 13:19:36 +0000 2020,en,We are not headed in the right direction as a country. Projections are that we could double the number of deaths from #covid19 by the end of the winter. Decisions that individuals make don’t just affect them; but everyone else. The flip side is that we each CAN make a difference https://t.co/NG6u5pgLSm,MD,5002,177524
1331777484166205440,luckytran,Thu Nov 26 01:51:10 +0000 2020,en,Hey y’all. Look; it’s true that in order to stop the pandemic we need a national strategy that’s based on science.   However individual action still matters. The more people who can avoid indoor gatherings with people they don’t live with; the more we can limit harm.,New York City and Australia,3937,56156
1353396721452150784,EricTopol,Sun Jan 24 17:38:17 +0000 2021,en,A country that was once of the world leaders in managing the pandemic is now the outlier. The rise of the B.1.1.7 strain is contributing. The case and death trajectory is alarming. Hope for a rapid turnaround. https://t.co/6niryNnqph,CA,556,686676
1276897300623749120,rwang0,Sat Jun 27 15:16:54 +0000 2020,en,MyPOV: interesting option for disease surveillance - #BloodObservatories #covid19 #postpandemic   https://t.co/N5qhXOvfGM,Silicon Valley | SF | FL 410+,103619,141982
1318311476755648512,JoeBrunoWSOC9,Mon Oct 19 22:02:03 +0000 2020,en,Mecklenburg County says 23 cases are now tied to a two-day convocation event at the United House of Prayer For All People (figure includes attendees and close contacts) @wsoctv https://t.co/n2Nn3m0llq,NC,4017,48909
1343006918609014784,DBelardoMD,Sun Dec 27 01:32:55 +0000 2020,en,Hey functional medicine can you get your people in line and stop them from spreading antivax misinformation we are in a pandemic k thanks,CA,2925,73479
1351379948515315712,CarlosdelRio7,Tue Jan 19 04:04:21 +0000 2021,en,Rochelle Walensky: new Director of the US CDC https://t.co/L8U1mPBIIF. Couldn’t be more thrilled that @RWalensky will be the new @CDCgov Director.  She will be transformative and under her leadership the agency will regain its credibility and trust.,GA,1569,56698
1400800763484413952,EricTopol,Fri Jun 04 13:05:02 +0000 2021,en,"There are 12 states that are already at 70%. I worry about the ones that are way below that; and they are sitting ducks for the next outbreak of Covid-19 — which shouldn't have to happen now"—@NIHDirector to @ChrisCuomo @CNN  💯The vulnerability for these people and the country https://t.co/geksu8snVJ,CA,556,686676
1250013347522785280,CarlosdelRio7,Tue Apr 14 10:49:40 +0000 2020,en,FDA approves first saliva-based coronavirus test https://t.co/4hfeJowNeK,GA,1569,56698
1364685863205109760,CarlosdelRio7,Wed Feb 24 21:17:19 +0000 2021,en,Why COVID vaccines are so difficult to compare https://t.co/sOqqyavOPG To me the best vaccine is a vaccine that has been given.  If you can get a vaccine; any of the approved vaccines; you should get it!,GA,1569,56698
1395499088339247104,tmprowell,Thu May 20 21:58:04 +0000 2021,en,The 🇺🇸 age-adjusted mortality rate is at its worst in almost in 2 decades. 2020 also broke a 90-year streak in which the yearly death rate was always lower than it was 10y earlier.    #GetVaccinated against #COVID19. Find a shot: https://t.co/mtE55JaGik.   https://t.co/9RhjtzsYn9,USA,7589,60699
1398274125077045248,ghn_news,Fri May 28 13:45:04 +0000 2021,en,People with presymptomatic; asymptomatic; or mild #COVID19 symptoms may be just as infectious as hospitalized patients at the time of virus detection; offering further evidence they could be key outbreak drivers.   https://t.co/xHCLF109wI,MD USA,2268,16655
1253358843557564416,GovLarryHogan,Thu Apr 23 16:23:29 +0000 2020,en,.@MayorBowser; @GovernorVA &amp; I have sent a joint regional letter to the Trump administration urging the continuation of telework for federal employees. Extending this policy will help ensure the safety of our region’s 360;000 federal workers as we continue fighting this pandemic. https://t.co/4HTMfxIJ81,MD,704,255955
1261102693868875776,JoeBrunoWSOC9,Fri May 15 01:14:47 +0000 2020,en,He Has 17;700 Bottles of Hand Sanitizer and Nowhere to Sell Them https://t.co/BUIyAeA6mr,NC,4017,48909
1272182601068003328,jeremyfaust,Sun Jun 14 15:02:22 +0000 2020,en,Week-in-Review Covid-19 Policy by @Brief_19.  Proud of the team covering covid-19 as relating to:  -tear gas at protests @aidalot  -rubber bullet dangers at protests @OnyekaOtugo  -vaccine production @ActuallyDrJ  -human trafficking @hstoklosa  Email: https://t.co/4wRvUc85gS 🙌 https://t.co/nOdBM7HeIp,MA,2894,102053
1288902363944759296,devisridhar,Thu Jul 30 18:20:44 +0000 2020,en,Don’t think most people understand the scale of the COVID-19 crisis. This is a massive problem that’s not going away anytime soon. Countries &amp; gov’ts need to plan- what’s the strategy to get through this with least damage to health; society &amp; the economy? What’s the game plan?,Miami,519,318829
1393243435537256448,DKThomp,Fri May 14 16:34:54 +0000 2021,en,I wrote once more about the CDC; an agency so slow to issue guidance in line with the research consensus on COVID-19 that it’s brought new meaning to the concept of “follow the science.”  https://t.co/Bt4DOTogZx,D.C.,1670,190217
1231909578884952064,CarlosdelRio7,Mon Feb 24 11:51:46 +0000 2020,en,2/24 #Covid_19 update:  South Korea now has 833 cases; most outside China; and Italy is now behind DPC with 215 cases.  This morning market futures are down so expect a major correction in DOW &amp; S&amp;P as a result of #coronavirus concerns.,GA,1569,56698
1275296902419025920,tmprowell,Tue Jun 23 05:17:30 +0000 2020,en,Data released by CMS on #COVID19 hospitalizations by race (N=110K) again reveal marked #healthinequity. How many centuries will it take to eradicate #racism &amp; its multifaceted impact on human health?  https://t.co/lr6gjdsl8j https://t.co/4mgcf3h2MN,USA,7589,60699
1325095168895143936,EricTopol,Sat Nov 07 15:18:01 +0000 2020,en,Our covid times :-) by @Hilary_Price https://t.co/HfjlAeGtz5,CA,556,686676
1378579344512200704,michaelmina_lab,Sun Apr 04 05:25:03 +0000 2021,en,“We’ve learned now with COVID that by the time you start to see increased activity through your symptomatic [only] testing; you probably had several generations of transmission of the virus before we even detect it;” he said.   https://t.co/w2jGL4Ourh,MA,998,226426
1276355992733835264,brianstelter,Fri Jun 26 03:25:56 +0000 2020,en,Hannity's town hall with Trump: an hour of missed opportunities. The president could have addressed the pandemic head-on; but he did not... https://t.co/OVZwn0TXSi,New York City,7494,787191
1290647986041692160,HelenBranswell,Tue Aug 04 13:57:13 +0000 2020,en,In the main; #Covid19 the disease spares little kids. (Most; not all.) But the impact of the pandemic — the social distancing; the disruption of education; the food insecurity &amp; familial stress — could have a lasting toll on them. https://t.co/bVJmiD2hji,MA,2079,225280
1306979148028665856,DrLeanaWen,Fri Sep 18 15:31:26 +0000 2020,en,Good synthesis of important new research showing association between #covid19 &amp; preterm births @RoniNYTimes.   Pregnant patients must be considered to be medically vulnerable during the pandemic; with additional testing &amp; worker protections offered.  https://t.co/hWG6Wy3y28,MD,5002,177524
1343241418140053504,rwang0,Sun Dec 27 17:04:44 +0000 2020,en,MyPOV: Most of the BPO operations should be automated processes in the next 2 to 3 years. That level of optimization is next.  Outsourcing in the 2020s: cloud and Covid shake up contracting https://t.co/JR6Ft0sRAr via @ZDNet &amp; @joemckendrick,Silicon Valley | SF | FL 410+,103619,141982
1394660215094607872,EricTopol,Tue May 18 14:24:41 +0000 2021,en,The model for virus tracking is this; built at @ColoradoMesaU with @broadinstitute @PardisSabeti  https://t.co/4Zgz4NOjqt by @EmilyAnthes @NYTScience https://t.co/QxHOq5POv3,CA,556,686676
1401962286936428544,NACCHOalerts,Mon Jun 07 18:00:31 +0000 2021,en,Download the third edition of the #CIFORFood Guidelines for Foodborne Disease Outbreak Response; now containing information on Whole Genome Sequencing and Culture-Independent Diagnostic Testing in #Spanish: https://t.co/BmMOlnNdom. #WorldFoodSafetyDay https://t.co/srdteelZuT,DC,3522,28576
1230237117730607104,CDCDirector,Wed Feb 19 21:06:00 +0000 2020,en,What are the five things you need to know about novel (new) #coronavirus? Find out in this video and stay updated on the latest #COVID19 information at https://t.co/62qrk9X59C. https://t.co/As0cfQYd2x,GA,487,373674
1290427340737175552,luckytran,Mon Aug 03 23:20:27 +0000 2020,en,We are now in the part of the pandemic where teachers are marching and carrying caskets to protest unsafe school reopenings https://t.co/ypELyx7dKj,New York City and Australia,3937,56156
1293101854839017472,rwang0,Tue Aug 11 08:28:01 +0000 2020,en,MyPOV: balance loss of learning; safety concerns; and need for parents to work. #k12 #ReOpenOurSchools  We cannot afford to get further behind.” How a big-city school superintendent makes heart-wrenching decisions about reopening classes amid Covid-19. https://t.co/BSgot7zGwn,Silicon Valley | SF | FL 410+,103619,141982
1319373295234547712,NACCHOalerts,Thu Oct 22 20:21:21 +0000 2020,en,NACCHO Announces $160;000 in Medical Reserve Corps COVID-19 Operational Readiness Awards: https://t.co/v5WXvQYNvN https://t.co/wlqlfxUb5X,DC,3522,28576
1337891892734803968,rwang0,Sat Dec 12 22:47:38 +0000 2020,en,MyPOV: my favorite public health announcement this year #covid19 https://t.co/yWxdu2LPge,Silicon Valley | SF | FL 410+,103619,141982
1311265809965223936,ghn_news,Wed Sep 30 11:25:05 +0000 2020,en,Just 9 months into the pandemic; #COVID19 deaths passed the 1 million mark. That's more deaths than the entire population of Jerusalem.   https://t.co/0Uhna26N5H,MD USA,2268,16655
1334872517962584064,JenniferNuzzo,Fri Dec 04 14:49:43 +0000 2020,en,Yesterday was another record breaking day. Cases and deaths reached an all-time high. https://t.co/BDfxYCPbzs https://t.co/tTIXFYB8qM,MD,1464,49594
1352083163934306304,Craig_A_Spencer,Thu Jan 21 02:38:41 +0000 2021,en,“The United States intends to remain a member of the World Health Organization”.  We must strengthen our collective ability to respond to this pandemic and prevent the next. The US and WHO can only do this as partners; not adversaries. https://t.co/FIUlX30Jdz,🗽 New York City 🔜 PVD,730,253343
1386804455778267136,Surgeon_General,Mon Apr 26 22:08:42 +0000 2021,en,Thank you; @KizzyPhD; for joining the COVID-19 Community Corps &amp; me tonight to talk about the COVID vaccines.   If you are working to help educate &amp; empower people; join us at the COVID-19 Community Corps. #WeCanDoThis   https://t.co/VsmsYB4NKU https://t.co/rrfktG37iy,DC,187,1127181
1394280020302913536,rwang0,Mon May 17 13:13:55 +0000 2021,en,MYPOV: wrecking the airline algorithms for pricing. #roadwarriors  Heard on the Street: Using more live data to set fares has become a necessity for carriers during the pandemic; and may lead to greater price discimination in the future https://t.co/AQXw7lqOF9 via @WSJ,Silicon Valley | SF | FL 410+,103619,141982
